BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
4010680001,4,1068,1,8, ,H3,4,1,"189,250",90-10,DITMARS AVENUE,Queens ,11369,,,90-10 DITMARS AVENUE
4010710001,4,1071,1,1, ,H4,4,1,"78,496",94-00,DITMARS BLVD.,Queens ,11369,,,94-00 DITMARS BLVD.
4010710050,4,1071,50,1, ,G9,4,1,"106,512",94-01,23 AVENUE,Queens ,11369,,,94-01 23 AVENUE
4010720001,4,1072,1,2, ,GU,4,3,"143,934",95-01,DITMARS BOULEVARD,Queens ,11369,,,95-01 DITMARS BOULEVARD
4010780001,4,1078,1,8, ,E9,4,1,"118,312",83-15,24TH AVE.,Queens ,11370,,,83-15 24TH AVE.
4011110001,4,1111,1,1, ,D4,2,10,"743,160",54-17,31ST AVE.,Queens ,11377,,,54-17 31ST AVE.
4011137501,4,1113,7501,3, ,R0,2,1,"289,100",57-07,31 STREET,Queens ,11377,,,57-07 31 STREET
4011140011,4,1114,11,4, ,E1,4,1,"88,750",60-01,31ST AVE.,Queens ,11377,,,60-01 31ST AVE.
4011240001,4,1124,1,4, ,K6,4,3,"118,890",75-11,31 AVENUE,Queens ,11370,,,75-11 31 AVENUE
4011310001,4,1131,1,1, ,D3,2,1,"108,384",53-01,32ND AVE.,Queens ,11377,,,53-01 32ND AVE.
4011310017,4,1131,17,1, ,D1,2,1,"64,356",31-20,54TH ST.,Queens ,11377,,,31-20 54TH ST.
4011320036,4,1132,36,2, ,D4,2,1,"58,280",31-31,54TH ST.,Queens ,11377,,,31-31 54TH ST.
4011320044,4,1132,44,2, ,D4,2,1,"58,280",31-21,54TH ST.,Queens ,11377,,,31-21 54TH ST.
4011340001,4,1134,1,4, ,D7,2,1,"111,263",56-02,31ST AVE.,Queens ,11377,,,56-02 31ST AVE.
4011380030,4,1138,30,8, ,D1,2,1,"65,810",31-16,68TH ST.,Queens ,11377,,,31-16 68TH ST.
4011650017,4,1165,17,5, ,D1,2,1,"65,810",32-30,70TH ST.,Queens ,11370,,,32-30 70TH ST.
4011650027,4,1165,27,5, ,D1,2,1,"66,426",32-50,70TH ST.,Queens ,11370,,,32-50 70TH ST.
4011650045,4,1165,45,5, ,D7,2,1,"79,338",69-01,NORTHERN BLVD.,Queens ,11377,,,69-01 NORTHERN BLVD.
4011650058,4,1165,58,5, ,D1,2,1,"65,815",32-45,69TH ST.,Queens ,11377,,,32-45 69TH ST.
4011650071,4,1165,71,5, ,D1,2,1,"65,810",32-25,69TH ST.,Queens ,11377,,,32-25 69TH ST.
